facet	subfacet	snp.facet	snp.subfacet	position	sigma	step	nk.status	gaussian	n_snps	triple_sigma	fst
pop	CB~CR	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	0.04281689606091838
pop	CB~DR	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	-0.03366361874197522
pop	CB~LP	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	-0.004410025177561825
pop	CB~MB	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	0.008974563174391444
pop	CB~NR	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	0.0017894445836875135
pop	CB~TR	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	-0.024362846655282367
pop	CR~DR	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	0.06833266873798674
pop	CR~LP	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	0.11060664567318675
pop	CR~MB	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	0.033303895392700664
pop	CR~NR	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	0.09175422710784864
pop	CR~TR	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	0.06246653908902763
pop	DR~LP	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	-0.01615298592542732
pop	DR~MB	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	0.004379909064072892
pop	DR~NR	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	-0.0163141623960543
pop	DR~TR	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	-0.02137869380250807
pop	LP~MB	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	0.026133729117507637
pop	LP~NR	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	-0.0072963577627360695
pop	LP~TR	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	-0.007835891510059458
pop	MB~NR	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	0.01676988340956542
pop	MB~TR	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	0.006744713800247664
pop	NR~TR	.base	.base	0	200	50	TRUE	TRUE	676	FALSE	-0.010258514781635772
pop	CB~CR	.base	.base	50000	200	50	TRUE	TRUE	813	FALSE	0.03430623145208036
pop	CB~DR	.base	.base	50000	200	50	TRUE	TRUE	813	FALSE	-0.030105781822467075
pop	CB~LP	.base	.base	50000	200	50	TRUE	TRUE	813	FALSE	-0.0046428882801738515
pop	CB~MB	.base	.base	50000	200	50	TRUE	TRUE	813	FALSE	0.010693876281590513
pop	CB~NR	.base	.base	50000	200	50	TRUE	TRUE	813	FALSE	0.004798670275524232
